Trap,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying
ramp,5,0,12,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0
ramp,3,8,30,2,0,0,5,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
ramp,12,0,20,4,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,0
ramp,22,5,104,1,0,2,16,0,0,0,297,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
ramp,17,3,110,1,0,0,12,0,0,2,277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
ramp,9,1,17,1,1,1,3,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0
ramp,0,6,19,3,3,0,9,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0
ramp,3,1,48,0,0,0,12,0,0,0,161,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0
ramp,9,2,44,1,0,1,8,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
ramp,5,0,40,4,0,0,27,0,0,0,288,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0
ramp,9,1,37,1,0,1,14,0,0,5,266,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,17,0,0
ramp,2,1,13,1,5,0,6,0,0,0,70,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0
ramp,2,0,27,0,3,0,7,0,0,0,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
ramp,6,1,47,0,2,0,14,0,0,0,22,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,12,0,0
ramp,22,3,30,1,0,1,20,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0
ramp,12,0,76,0,0,3,22,0,0,4,61,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0
ramp,23,2,59,2,0,0,34,0,0,1,101,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,11,0,0
ramp,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramp,6,0,24,0,2,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,7,0,0
ramp,1,0,26,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0
ramp,2,1,42,0,0,0,22,0,0,0,14,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,10,0,0
ramp,16,0,53,1,0,2,35,0,0,2,18,0,1,0,0,0,0,0,11,0,2,7,0,0,0,0,0,0,7,0,0
ramp,19,0,60,1,0,1,75,0,0,2,25,0,0,0,0,0,0,0,5,0,1,8,0,0,0,0,0,0,7,0,0
ramp,2,0,11,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,5,1,1
ramp,4,0,15,0,0,1,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0
